batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
PA Patel,103.00751879699249,112.39669421487604,100.60975609756098,116.33466135458168,102.53164556962024,106.81818181818181,88.23529411764706,130.3191489361702,122.34042553191489,115.29411764705881,148.93617021276594
PA Reddy,82.6086956521739,0.0,11.11111111111111,111.5702479338843,40.0,0.0,0.0,0.0,77.77777777777779,0.0,0.0
PC Valthaty,50.0,187.5,20.0,35.294117647058826,71.42857142857143,0.0,88.23529411764706,119.41391941391942,0.0,88.88888888888889,0.0
PD Collingwood,0.0,0.0,155.0,118.6046511627907,0.0,0.0,114.58333333333333,50.0,0.0,0.0,0.0
PJ Cummins,0.0,0.0,123.52941176470588,0.0,0.0,0.0,0.0,0.0,0.0,157.14285714285714,184.6153846153846
PJ Sangwan,200.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,100.0,42.857142857142854,50.0,50.0
PM Sarvesh Kumar,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,233.33333333333334,85.0,95.83333333333334,129.41176470588235,147.61904761904762,0.0,114.70588235294117,107.76255707762556,11.11111111111111,200.0,0.0
PP Ojha,20.0,28.57142857142857,40.0,28.57142857142857,0.0,0.0,0.0,0.0,45.0,0.0,0.0
PR Shah,82.6086956521739,0.0,67.64705882352942,137.93103448275863,100.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0
PSP Handscomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
PV Tambe,0.0,100.0,0.0,0.0,52.63157894736842,0.0,0.0,0.0,0.0,0.0,36.84210526315789
Pankaj Singh,0.0,0.0,100.0,133.33333333333331,0.0,0.0,0.0,20.0,50.0,0.0,0.0
Parvez Rasool,0.0,0.0,0.0,109.09090909090908,0.0,0.0,25.0,0.0,80.0,0.0,0.0
Q de Kock,190.0,42.857142857142854,127.13178294573643,106.86274509803921,0.0,0.0,0.0,148.0,105.66037735849056,0.0,45.45454545454545
R Ashwin,130.0,102.63157894736842,100.0,83.33333333333334,56.25,0.0,0.0,96.66666666666667,44.44444444444444,117.14285714285715,0.0
R Bhatia,189.6551724137931,100.0,83.87096774193549,160.0,110.41666666666667,100.0,128.9855072463768,91.30434782608695,122.58064516129032,90.47619047619048,0.0
R Bishnoi,0.0,0.0,0.0,50.0,0.0,0.0,0.0,128.57142857142858,0.0,0.0,0.0
R Dhawan,104.34782608695652,0.0,0.0,87.5,200.0,0.0,95.83333333333334,110.9090909090909,121.05263157894737,275.0,0.0
R Dravid,107.10227272727273,106.3157894736842,115.48387096774194,118.82352941176471,116.01208459214503,115.78947368421053,122.34042553191489,118.04511278195488,83.33333333333334,110.29411764705883,0.0
R McLaren,66.66666666666666,0.0,0.0,0.0,220.00000000000003,0.0,0.0,89.10891089108911,83.5820895522388,0.0,0.0
R Ninan,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Rampaul,60.0,0.0,171.42857142857142,0.0,100.0,0.0,0.0,0.0,127.77777777777777,0.0,0.0
R Sathish,109.09090909090908,114.28571428571428,140.0,122.22222222222223,100.0,0.0,110.5263157894737,139.58333333333331,95.1219512195122,0.0,0.0
R Sharma,0.0,50.0,0.0,87.5,166.66666666666669,0.0,0.0,50.0,112.5,70.0,0.0
R Shukla,33.33333333333333,0.0,107.14285714285714,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Tewatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.83333333333331,0.0,0.0,0.0
R Vinay Kumar,117.5,110.00000000000001,113.79310344827587,92.5,85.71428571428571,125.0,100.0,100.0,104.54545454545455,108.33333333333333,0.0
RA Jadeja,110.00000000000001,144.3089430894309,120.0,73.73737373737373,115.49295774647888,125.71428571428571,115.87301587301589,103.84615384615385,131.70731707317074,128.39506172839506,112.88659793814433
RA Tripathi,127.58620689655173,0.0,0.0,143.90243902439025,0.0,0.0,0.0,133.33333333333331,0.0,141.8181818181818,194.11764705882354
RD Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
RE Levi,0.0,0.0,0.0,0.0,131.8181818181818,0.0,0.0,0.0,108.0,0.0,0.0
RE van der Merwe,100.0,42.857142857142854,76.92307692307693,152.38095238095238,88.23529411764706,0.0,90.9090909090909,153.57142857142858,133.33333333333331,0.0,0.0
RG More,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
RG Sharma,140.0,119.14893617021276,146.078431372549,127.13643178410794,134.92822966507177,0.0,130.05464480874315,127.95031055900621,125.64909520062943,129.89690721649484,107.14285714285714
RJ Harris,133.33333333333331,114.28571428571428,250.0,106.66666666666667,50.0,0.0,0.0,74.4186046511628,130.0,100.0,0.0
RJ Peterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.57142857142856,64.0,0.0,0.0
RJ Quiney,0.0,0.0,47.61904761904761,0.0,113.1578947368421,0.0,0.0,87.5,0.0,0.0,0.0
RN ten Doeschate,75.0,135.71428571428572,146.66666666666666,75.0,0.0,0.0,151.64835164835165,112.00000000000001,139.68253968253967,0.0,0.0
RP Singh,0.0,92.85714285714286,50.0,81.25,40.0,100.0,0.0,0.0,37.5,0.0,0.0
RR Bhatkal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Pant,0.0,0.0,138.77551020408163,131.4814814814815,0.0,0.0,150.0,133.33333333333331,135.29411764705884,152.27272727272728,192.06349206349208
